frn,pi_name,wos_uid,title,first_author,pmid,doi,pub_year,pub_month,grant_start_date,grant_end_date,grant_type,institution,total_amount,competition_year,num_other_fundings,other_funding_names,primary_theme
142273,Paul Yong,WOS:000456095100012,Prospective Cohort of Deep Dyspareunia in an Interdisciplinary Setting,"Yong, Paul J.",MEDLINE:30446474,10.1016/j.jsxm.2018.10.005,2018,12,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,5,"Canadian Institutes of Health Research IHD-137431, BC Women's Hospital and Health Center Foundation, Women's Health Research Institute (WHRI), Vancouver General Hospital, UBC Hospital Foundation (Mentored Clinician Scientist Award from the Vancouver Coastal Health Research Institute)",Clinical
142273,Paul Yong,WOS:000419218600014,Chronic pelvic pain in an interdisciplinary setting: 1-year prospective cohort,"Allaire, Catherine",MEDLINE:29031895,10.1016/j.ajog.2017.10.002,2018,1,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,4,"Canadian Institutes of Health Research IHD-137431, BC Women's Hospital and Health Center Foundation, Women's Health Research Institute, VGH and UBC Hospital Foundation (Mentored Clinician Scientist Award from the Vancouver Coastal Health Research Institute)",Clinical
142273,Paul Yong,WOS:000448713601389,COMPLETE AND PARTIAL POUCH OF DOUGLAS OBLITERATION: ASSOCIATION WITH SEXUAL PAIN.,"Yong, P.",,,2018,9,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,0,,Clinical
142273,Paul Yong,WOS:000444613700006,Deep Dyspareunia and Sexual Quality of Life in Women With Endometriosis,"Shum, Leona K.",MEDLINE:29801714,10.1016/j.esxm.2018.04.006,2018,9,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,7,"Canadian Institutes of Health Research (CIHR) Operating Grant Priority Announcement (Reproductive & Child Health Start-up Grant) from the Institute of Human Development, Child and Youth Health IHD-137431, BC Women's Hospital, Women's Health Research Institute, VGH, UBC Hospital Foundation (Mentored Clinician Scientist Award), Michael Smith Foundation for Health Research",Clinical
142273,Paul Yong,WOS:000429928600008,Nerve Growth Factor Is Associated With Sexual Pain in Women With Endometriosis,"Peng, Bo",MEDLINE:28673205,10.1177/1933719117716778,2018,4,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,4,"Canadian Institutes of Health Research (CIHR) Operating Grant Priority Announcement (Reproductive & Child Health Start-up Grant) from the Institute of Human Development, Child and Youth Health IHD-137431, VCHRI Investigator Award by the VGH, UBC Hospital Foundation",Clinical
142273,Paul Yong,WOS:000428803600008,Pain Catastrophizing and Pain Health-Related Quality-of-Life in Endometriosis,"McPeak, Allison E.",MEDLINE:28731958,10.1097/AJP.0000000000000539,2018,4,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,10,"Canadian Institutes of Health Research (CIHR) Operating Grant Priority Announcement (Reproductive and Child Health Start-up Grant) from Institute of Human Development, Child and Youth Health Vancouver, BC, Canada IHD-137431, CIHR Vancouver, BC, VCHRI Investigator Award by VGH, UBC Hospital Foundation, Women's Health Research Institute, BC Women's Hospital Foundation",Clinical
142273,Paul Yong,WOS:000410676800008,Anatomic Sites and Associated Clinical Factors for Deep Dyspareunia,"Yong, Paul J.",MEDLINE:28778678,10.1016/j.esxm.2017.07.001,2017,9,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,3,"Canadian Institutes of Health Research (CIHR) from the Institute of Human Development, Child and Youth Health IHD-137431, VCHRI from the VGH and UBC Hospital Foundation",Clinical
142273,Paul Yong,WOS:000400891100009,Cancer-Associated Mutations in Endometriosis without Cancer,"Anglesio, M. S.",MEDLINE:28489996,10.1056/NEJMoa1614814,2017,5,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,31,"Richard W. TeLinde Gynecologic Pathology Research Program at Johns Hopkins University, Virginia and D.K. Ludwig Fund for Cancer Research, Ephraim and Wilma Shaw Roseman Foundation, Endometriosis Foundation of America, National Institutes of Health, National Cancer Institute P50-CA62924, National Cancer Institute CA06973, National Cancer Institute GM07184, National Cancer Institute GM07309, National Cancer Institute CA09243, National Cancer Institute CA57345, National Cancer Institute P30-CA006973, National Cancer Institute CA215483, National Cancer Institute UO1-CA200469, Gray Family Ovarian Clear Cell Carcinoma Research Resource, Canadian Cancer Society 701603, Canadian Institutes of Health Research IHD-137431, Canadian Foundation for Innovation, British Columbia Knowledge Development Fund, Women's Health Research Institute (Nelly Auersperg Grant), Canadian Foundation for Women's Health (General Research Grant), BC Women's Hospital, Health Centre Foundation, BC Cancer Foundation, VGH and UBC Hospital Foundation, Jemini Foundation, Mentored Clinician-Scientist Award of the Vancouver Coastal Health Research Institute, Dutch Cancer Society translational research fellowship KWF 2013-5869, National Cancer Institute P30CA006973, National Cancer Institute R01CA215483, National Cancer Institute P50CA062924",Clinical
153625,Natasha Orr,WOS:000444630400014,Deep Dyspareunia in Endometriosis: Role of the Bladder and Pelvic Floor,"Orr, Natasha L.",MEDLINE:30078464,10.1016/j.jsxm.2018.06.007,2018,8,5/1/2017,4/30/2018,Master's Award: Canada Graduate Scholarships ,University of British Columbia,17500,201617,4,"Canadian Institutes of Health Research (CIHR) Operating Grant F15-00907, Women's Health Research Institute, BC Women's Hospital and Health Centre Foundation, VGH and UBC Hospital Foundation",Clinical
154290,David Huntsman,WOS:001488596300001,Cystathionine gamma-lyase-mediated hypoxia inducible factor 1-alpha expression drives clear cell ovarian cancer progression,"EL-Naggar, Amal M.",MEDLINE:40371821,10.1002/path.6433,2025,5,7/1/2017,6/30/2024,Foundation Grant,University of British Columbia,2699832,201617,8,"Terry Fox Research Institute New Frontiers Program 1082, Cancer Research Society Operating Grant 875577, Ovarian Cancer Canada OvCAN1 Initiative AWD-018135, Canada Cancer Society Impact Grant 705647, Gynaecologic Cancer Initiative (GCI)/OVCARE Carraresi grant, Canada Research Chairs Program, Chew Wei Memorial Professorship in Gynaecologic Oncology, European Research Council (ERC) 875577",Biomedical
